✅ Firebase initialized successfully
✅ Supabase initialized for advanced features

╔════════════════════════════════════════════════════════╗
║         SmartSoko - Secure Server Ready                ║
╠════════════════════════════════════════════════════════╣
║  Environment: development                           ║
║  Port: 3000                                           ║
║  Database: Connected                                  ║
╠════════════════════════════════════════════════════════╣
║  Features:                                             ║
║  ✅ Firebase Auth verification                         ║
║  ✅ Role-based access control                          ║
║  ✅ Input validation (Zod)                             ║
║  ✅ Rate limiting                                      ║
║  ✅ Security headers (Helmet)                          ║
╚════════════════════════════════════════════════════════╝

[2026-05-09T21:30:24.383Z] [anon] GET /config/firebase-config.js
[2026-05-09T21:30:24.387Z] [anon] GET /js/onboarding-guard.js
[2026-05-09T21:30:24.388Z] [anon] GET /design-system.css
[2026-05-09T21:30:44.330Z] [anon] GET /test-api-integration.html
[2026-05-09T21:30:44.924Z] [anon] GET /api/health
[2026-05-09T21:30:45.888Z] [anon] GET /api/sellers
[2026-05-09T21:30:46.885Z] [anon] GET /api/categories
[2026-05-09T21:30:47.890Z] [anon] GET /api/config
[2026-05-09T21:32:13.518Z] [anon] GET /api/health
[2026-05-09T21:32:45.745Z] [anon] GET /
[2026-05-09T21:32:45.832Z] [anon] GET /nav-component.js
[2026-05-09T21:32:45.843Z] [anon] GET /config/firebase-config.js
[2026-05-09T21:32:45.885Z] [anon] GET /js/data-service.js
[2026-05-09T21:32:45.898Z] [anon] GET /js/data-service.js
[2026-05-09T21:33:27.204Z] [anon] GET /admin
[2026-05-09T21:33:27.415Z] [anon] GET /config/firebase-config.js
[2026-05-09T21:33:27.417Z] [anon] GET /config/mapbox-config.js
[2026-05-09T21:33:27.433Z] [anon] GET /design-system.css
[2026-05-09T21:33:27.498Z] [anon] GET /pwa/manifest.json
[2026-05-09T21:33:27.530Z] [anon] GET /nav-component.js
[2026-05-09T21:33:27.580Z] [anon] GET /auth-check.js
[2026-05-09T21:33:28.194Z] [anon] GET /favicon.svg
[2026-05-09T21:33:29.342Z] [anon] GET /login
[2026-05-09T21:33:29.762Z] [anon] GET /config/firebase-config.js
[2026-05-09T21:33:29.764Z] [anon] GET /js/onboarding-guard.js
[2026-05-09T21:33:29.911Z] [anon] GET /design-system.css
[2026-05-09T21:33:52.094Z] [anon] GET /supabase
[2026-05-09T21:34:09.753Z] [anon] GET /product
[2026-05-09T21:34:09.794Z] [anon] GET /config/firebase-config.js
[2026-05-09T21:34:09.797Z] [anon] GET /nav-component.js
[2026-05-09T21:34:09.899Z] [anon] GET /images/default-product.png
[2026-05-09T21:40:11.708Z] [anon] GET /api/health
[2026-05-09T21:40:11.717Z] [anon] GET /api/admin/system/logs
[2026-05-09T21:40:24.350Z] [anon] GET /pwa/manifest.json
[2026-05-09T21:40:24.382Z] [anon] GET /.well-known/appspecific/com.chrome.devtools.json
[2026-05-09T22:26:03.706Z] [anon] GET /main
